code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00001,20260909,长和,69.500,70.350,69.200,70.350,69.350,+1.000,+1.44,5609920,392325440,
00002,20260909,中电控股,77.250,79.050,77.250,79.050,77.250,+1.800,+2.33,4374200,343338140,
00003,20260909,香港中华煤气,7.280,7.345,7.270,7.330,7.300,+0.030,+0.41,19637763,143517480,
00004,20260909,九龙仓集团,19.020,19.290,18.800,19.110,19.020,+0.090,+0.47,2348056,44736247,
00005,20260909,汇丰控股,166.500,166.700,165.500,166.000,164.900,+1.100,+0.67,6256877,1039178590,
00006,20260909,电能实业,59.950,61.150,59.950,61.150,59.870,+1.280,+2.14,3682603,223282860,
00008,20260909,电讯盈科,5.390,5.480,5.385,5.480,5.380,+0.100,+1.86,12287323,66901927,
00010,20260909,恒隆集团,12.550,12.550,12.460,12.480,12.560,-0.080,-0.64,266000,3321620,
00012,20260909,恒基地产,26.660,26.960,26.400,26.480,26.660,-0.180,-0.68,6645136,176200240,
00013,20260909,和黄医药,22.100,22.180,21.700,21.780,22.100,-0.320,-1.45,3900588,85255281,
00014,20260909,希慎兴业,16.300,16.330,16.040,16.130,16.330,-0.200,-1.22,517000,8350955,
00016,20260909,新鸿基地产,118.700,119.300,116.800,118.300,119.800,-1.500,-1.25,5684653,669966190,
00017,20260909,新世界发展,6.505,6.505,6.160,6.190,6.500,-0.310,-4.77,9469690,58972732,
00018,20260909,东方传媒集团,0.207,0.221,0.207,0.211,0.217,-0.006,-2.76,62000,13200,
00019,20260909,太古股份公司A,106.200,107.900,104.900,107.100,106.200,+0.900,+0.85,1613415,171656590,
00020,20260909,商汤-W,1.360,1.365,1.330,1.330,1.365,-0.035,-2.56,348935060,466943600,
00021,20260909,大中华控股,0.077,0.078,0.073,0.077,0.077,+0.000,+0.00,1060000,79010,
00022,20260909,茂盛控股,1.770,1.860,1.770,1.770,1.750,+0.020,+1.14,40400,71730,
00023,20260909,东亚银行,18.220,18.360,18.070,18.170,18.350,-0.180,-0.98,2080175,37851478,
00025,20260909,其士国际,,,,4.780,4.780,+0.000,+0.00,,,
00026,20260909,中华汽车,,,,58.800,58.950,-0.150,-0.25,,,
00027,20260909,银河娱乐,33.560,33.680,33.020,33.220,33.720,-0.500,-1.48,11805140,394337320,
00028,20260909,天安,3.350,3.370,3.285,3.350,3.260,+0.090,+2.76,124125,414952,
00029,20260909,达力集团,9.205,9.500,9.205,9.385,9.305,+0.080,+0.86,48000,452270,
00030,20260909,云白国际,0.244,0.244,0.238,0.240,0.244,-0.004,-1.64,246000,59344,
00031,20260909,航天控股,0.480,0.485,0.475,0.480,0.485,-0.005,-1.03,604990,290325,
00032,20260909,港通控股,7.450,7.500,7.450,7.470,7.510,-0.040,-0.53,60760,454826,
00033,20260909,INTL GENIUS,,,,0.400,0.400,+0.000,+0.00,,,
00034,20260909,九龙建业,4.350,4.400,4.335,4.350,4.380,-0.030,-0.68,193000,845655,
00035,20260909,远东发展,0.675,0.685,0.660,0.685,0.675,+0.010,+1.48,524000,350445,
