"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	603667","2020-02-21","CN","右侧","90.0","9.46","9.91","0.0476","否"
"	603667","2020-05-26","CN","右侧","85.0","7.86","8.88","0.1298","是"
"	603667","2020-07-07","CN","右侧","75.0","8.4","8.88","0.0571","否"
"	603667","2020-08-11","CN","右侧","90.0","8.62","9.42","0.0928","否"
"	603667","2021-06-15","CN","右侧","100.0","9.41","12.08","0.2837","是"
"	603667","2021-10-13","CN","左侧","75.0","16.36","19.16","0.1711","是"
"	603667","2022-07-20","CN","右侧","75.0","17.32","21.87","0.2627","是"
"	603667","2023-01-09","CN","右侧","90.0","14.36","15.8","0.1003","是"
"	603667","2023-02-24","CN","左侧","70.0","14.77","15.02","0.0169","否"
"	603667","2023-06-07","CN","左侧","70.0","11.53","17.98","0.5594","是"
"	603667","2023-07-20","CN","左侧","70.0","14.92","15.24","0.0214","否"
"	603667","2023-08-23","CN","右侧","90.0","14.61","20.06","0.373","是"
"	603667","2024-02-28","CN","右侧","90.0","15.61","20.66","0.3235","是"
"	603667","2024-05-10","CN","左侧","70.0","16.8","18.88","0.1238","是"
"	603667","2024-06-21","CN","左侧","70.0","16.71","17.17","0.0275","否"
"	603667","2024-08-12","CN","左侧","70.0","14.15","14.75","0.0424","否"
"	603667","2024-11-18","CN","左侧","70.0","17.59","35.45","1.0153","是"
"	603667","2025-09-03","CN","右侧","75.0","39.4","52.5","0.3325","是"
"	603667","2025-10-14","CN","左侧","70.0","42.53","49.36","0.1606","是"
"	603667","2025-11-20","CN","左侧","70.0","41.0","57.57","0.4041","是"
