code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
603667,2020-05-26,CN,右侧,85.0,7.89,8.88,0.1255,True
603667,2020-07-07,CN,右侧,75.0,8.4,8.88,0.0571,False
603667,2020-07-17,CN,左侧,70.0,8.33,8.98,0.078,False
603667,2020-07-21,CN,左侧,70.0,8.55,9.42,0.1018,True
603667,2020-08-11,CN,右侧,90.0,8.65,9.42,0.089,False
603667,2021-06-15,CN,右侧,100.0,9.3,12.08,0.2989,True
603667,2021-10-13,CN,左侧,75.0,15.85,19.16,0.2088,True
603667,2022-07-20,CN,右侧,75.0,17.32,21.87,0.2627,True
603667,2023-01-09,CN,右侧,90.0,14.27,15.8,0.1072,True
603667,2023-02-24,CN,左侧,70.0,14.87,15.02,0.0101,False
603667,2023-06-07,CN,左侧,70.0,11.53,17.98,0.5594,True
603667,2023-07-20,CN,左侧,70.0,14.98,15.24,0.0174,False
603667,2023-07-21,CN,左侧,70.0,14.49,15.51,0.0704,False
603667,2023-08-23,CN,右侧,90.0,14.69,20.06,0.3656,True
603667,2024-02-28,CN,右侧,90.0,16.17,20.66,0.2777,True
603667,2024-05-10,CN,左侧,70.0,16.91,18.88,0.1165,True
603667,2024-05-15,CN,左侧,70.0,16.06,19.99,0.2447,True
603667,2024-06-03,CN,右侧,85.0,18.2,19.99,0.0984,False
603667,2024-06-21,CN,左侧,70.0,16.92,17.17,0.0148,False
603667,2024-06-26,CN,左侧,70.0,16.34,17.17,0.0508,False
603667,2024-08-12,CN,左侧,70.0,14.22,14.75,0.0373,False
603667,2024-08-16,CN,左侧,70.0,14.41,14.49,0.0056,False
603667,2024-08-19,CN,左侧,70.0,14.11,14.3,0.0135,False
603667,2024-08-20,CN,左侧,90.0,13.98,14.3,0.0229,False
603667,2024-11-18,CN,左侧,70.0,17.5,35.45,1.0257,True
603667,2025-09-03,CN,右侧,75.0,39.99,52.5,0.3128,True
603667,2025-10-14,CN,左侧,70.0,41.41,49.36,0.192,True
603667,2025-10-31,CN,右侧,75.0,45.9,49.36,0.0754,False
603667,2025-11-20,CN,左侧,70.0,41.9,57.57,0.374,True
603667,2025-11-24,CN,左侧,70.0,43.57,57.57,0.3213,True
603667,2025-11-25,CN,左侧,70.0,43.36,57.57,0.3277,True
603667,2025-11-26,CN,左侧,70.0,43.74,57.84,0.3224,True
