"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	301008","2023-03-09","CN","右侧","75.0","26.65","28.3","0.0619","False"
"	301008","2023-03-17","CN","右侧","85.0","26.46","28.3","0.0695","False"
"	301008","2023-03-20","CN","右侧","75.0","26.38","28.3","0.0728","False"
"	301008","2023-03-21","CN","右侧","90.0","26.66","28.3","0.0615","False"
"	301008","2023-04-14","CN","左侧","70.0","26.36","27.3","0.0357","False"
"	301008","2023-05-19","CN","右侧","90.0","26.18","27.49","0.05","False"
"	301008","2023-09-04","CN","左侧","70.0","30.5","30.79","0.0095","False"
"	301008","2023-09-15","CN","左侧","90.0","28.15","30.35","0.0782","False"
"	301008","2023-11-28","CN","右侧","75.0","31.16","33.58","0.0777","False"
"	301008","2023-12-06","CN","右侧","85.0","30.58","30.85","0.0088","False"
"	301008","2024-01-10","CN","左侧","75.0","29.35","30.07","0.0245","False"
"	301008","2024-01-15","CN","左侧","75.0","29.08","29.5","0.0144","False"
"	301008","2024-04-16","CN","右侧","100.0","24.75","28.51","0.1519","True"
"	301008","2024-05-17","CN","左侧","70.0","26.8","30.68","0.1448","True"
"	301008","2024-07-29","CN","右侧","85.0","18.04","18.29","0.0139","False"
"	301008","2024-09-27","CN","右侧","85.0","16.25","26.66","0.6406","True"
"	301008","2024-11-28","CN","左侧","70.0","20.18","22.72","0.1259","True"
"	301008","2024-12-24","CN","左侧","70.0","20.05","20.08","0.0015","False"
"	301008","2025-01-22","CN","左侧","75.0","19.16","23.5","0.2265","True"
"	301008","2025-07-07","CN","左侧","70.0","22.61","24.66","0.0907","False"
