"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	603966","2023-02-06","CN","左侧","75.0","12.04","16.12","0.3389","是"
"	603966","2023-04-28","CN","右侧","100.0","14.42","14.47","0.0035","否"
"	603966","2023-09-04","CN","右侧","90.0","9.66","9.79","0.0135","否"
"	603966","2024-04-24","CN","左侧","90.0","7.91","9.71","0.2276","是"
"	603966","2024-06-03","CN","左侧","70.0","8.24","8.24","0.0","否"
"	603966","2024-08-08","CN","右侧","85.0","6.61","7.7","0.1649","是"
"	603966","2024-09-23","CN","左侧","70.0","6.52","8.8","0.3497","是"
"	603966","2025-01-22","CN","左侧","70.0","7.89","9.06","0.1483","是"
"	603966","2025-07-10","CN","左侧","90.0","9.04","13.2","0.4602","是"
"	603966","2025-08-25","CN","右侧","100.0","11.5","11.64","0.0122","否"
"	603966","2025-10-09","CN","右侧","75.0","11.37","11.99","0.0545","否"
"	603966","2025-11-17","CN","右侧","90.0","12.14","12.26","0.0099","否"
