"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"000983","2024-11-12","CN","右侧","90.0","8.53","8.69","0.0188","False"
"000983","2024-12-11","CN","右侧","85.0","8.53","8.53","0.0","False"
"000983","2025-03-18","CN","左侧","75.0","6.99","7.24","0.0358","False"
"000983","2025-07-16","CN","左侧","75.0","6.41","8.16","0.273","True"
"000983","2025-07-18","CN","右侧","85.0","6.6","8.16","0.2364","True"
"000983","2025-09-16","CN","右侧","75.0","7.3","7.66","0.0493","False"
"000983","2025-10-23","CN","右侧","85.0","7.6","7.6","0.0","False"
"000983","2025-10-28","CN","左侧","75.0","7.34","7.6","0.0354","False"
"000983","2025-11-12","CN","左侧","75.0","7.26","7.31","0.0069","False"
"000983","2025-11-14","CN","左侧","75.0","7.21","7.29","0.0111","False"
"000983","2026-02-04","CN","右侧","85.0","7.36","7.7","0.0462","False"
"000983","2026-03-24","CN","右侧","75.0","7.35","7.23","-0.0163","False"
