code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
002100,2022-12-02,CN,右侧,75.0,8.95,9.08,0.0145,False
002100,2023-03-14,CN,右侧,85.0,8.92,10.33,0.1581,True
002100,2023-07-18,CN,右侧,75.0,8.34,8.43,0.0108,False
002100,2023-07-31,CN,右侧,85.0,8.42,8.43,0.0012,False
002100,2023-10-26,CN,右侧,85.0,7.09,7.76,0.0945,False
002100,2023-10-30,CN,右侧,100.0,7.32,7.98,0.0902,False
002100,2023-10-31,CN,右侧,90.0,7.26,7.98,0.0992,False
002100,2023-11-02,CN,右侧,90.0,7.13,7.98,0.1192,True
002100,2024-01-12,CN,右侧,75.0,8.71,8.79,0.0092,False
002100,2024-03-18,CN,右侧,75.0,7.32,8.09,0.1052,True
002100,2024-05-06,CN,右侧,75.0,7.49,8.79,0.1736,True
002100,2024-07-16,CN,右侧,75.0,7.18,7.26,0.0111,False
002100,2024-09-27,CN,右侧,85.0,6.62,7.85,0.1858,True
002100,2024-10-09,CN,右侧,100.0,6.55,7.05,0.0763,False
002100,2024-11-19,CN,左侧,90.0,6.65,7.14,0.0737,False
002100,2024-12-10,CN,右侧,100.0,6.89,7.14,0.0363,False
002100,2025-02-13,CN,右侧,85.0,6.27,6.29,0.0032,False
002100,2025-04-25,CN,左侧,90.0,6.36,6.54,0.0283,False
002100,2025-04-28,CN,左侧,90.0,6.25,6.54,0.0464,False
002100,2025-04-29,CN,左侧,90.0,6.24,6.56,0.0513,False
002100,2025-05-30,CN,右侧,85.0,6.49,6.56,0.0108,False
002100,2025-06-03,CN,右侧,75.0,6.5,6.56,0.0092,False
002100,2025-06-11,CN,右侧,75.0,6.4,6.41,0.0016,False
002100,2025-10-23,CN,左侧,90.0,7.52,7.98,0.0612,False
002100,2025-11-04,CN,左侧,90.0,7.4,7.83,0.0581,False
002100,2025-11-18,CN,左侧,75.0,7.55,7.67,0.0159,False
002100,2025-11-19,CN,左侧,90.0,7.53,7.67,0.0186,False
002100,2026-03-03,CN,右侧,90.0,7.16,7.84,0.095,False
002100,2026-03-06,CN,右侧,75.0,7.28,7.84,0.0769,False
