code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
300058,2024-05-14,CN,右侧,75.0,6.44,6.42,-0.0031,False
002603,2024-05-20,CN,左侧,75.0,19.39,19.45,0.0031,False
002603,2024-05-21,CN,左侧,75.0,19.15,19.25,0.0052,False
300699,2024-06-13,CN,左侧,90.0,25.9,27.2,0.0502,False
300699,2024-07-04,CN,右侧,100.0,26.11,28.75,0.1011,True
002271,2024-07-24,CN,左侧,75.0,12.56,13.05,0.039,False
300058,2024-07-31,CN,右侧,75.0,5.36,5.45,0.0168,False
002603,2024-08-22,CN,左侧,75.0,15.37,15.7,0.0215,False
002709,2024-09-11,CN,右侧,85.0,14.89,20.37,0.368,True
002709,2024-09-12,CN,右侧,85.0,14.33,20.37,0.4215,True
002709,2024-09-24,CN,右侧,85.0,14.24,20.37,0.4305,True
002603,2024-09-25,CN,右侧,85.0,15.4,19.82,0.287,True
300699,2024-09-26,CN,右侧,75.0,27.48,39.49,0.437,True
002709,2024-12-11,CN,左侧,90.0,22.15,22.51,0.0163,False
002603,2024-12-12,CN,右侧,85.0,17.64,17.76,0.0068,False
002603,2024-12-13,CN,右侧,85.0,17.28,17.54,0.015,False
002271,2024-12-25,CN,右侧,85.0,13.7,14.05,0.0255,False
300699,2024-12-31,CN,右侧,90.0,34.65,34.6,-0.0014,False
002603,2025-01-06,CN,右侧,85.0,17.36,17.54,0.0104,False
300699,2025-02-11,CN,左侧,75.0,32.01,34.56,0.0797,False
300699,2025-02-13,CN,左侧,75.0,31.89,34.95,0.096,False
300699,2025-02-21,CN,右侧,75.0,32.88,35.35,0.0751,False
300699,2025-02-24,CN,右侧,90.0,33.26,35.35,0.0628,False
002603,2025-03-20,CN,右侧,90.0,14.6,14.98,0.026,False
300699,2025-07-07,CN,左侧,90.0,30.52,32.36,0.0603,False
002603,2025-07-08,CN,右侧,75.0,14.72,17.11,0.1624,True
002603,2025-07-09,CN,右侧,90.0,14.8,17.11,0.1561,True
300699,2025-07-10,CN,左侧,75.0,30.67,32.36,0.0551,False
300699,2025-08-25,CN,右侧,75.0,32.84,32.77,-0.0021,False
002271,2025-08-26,CN,右侧,90.0,12.8,12.87,0.0055,False
300699,2025-10-15,CN,左侧,75.0,30.05,30.27,0.0073,False
002603,2025-10-21,CN,右侧,90.0,17.43,21.58,0.2381,True
300058,2025-10-30,CN,右侧,85.0,6.76,11.45,0.6938,True
300699,2025-11-14,CN,左侧,75.0,28.39,31.39,0.1057,True
002271,2025-12-11,CN,左侧,90.0,12.99,14.74,0.1347,True
002271,2025-12-12,CN,右侧,75.0,13.19,14.74,0.1175,True
300058,2025-12-30,CN,右侧,85.0,9.6,24.43,1.5448,True
002603,2026-01-12,CN,右侧,90.0,17.78,20.26,0.1395,True
002603,2026-01-13,CN,右侧,90.0,17.78,20.26,0.1395,True
300699,2026-02-02,CN,左侧,90.0,38.75,41.75,0.0774,False
002603,2026-02-06,CN,右侧,75.0,18.08,18.2,0.0066,False
300699,2026-02-11,CN,左侧,75.0,39.3,43.94,0.1181,True
