"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	002156","2023-09-06","CN","右侧","90.0","21.0","21.09","0.0043","否"
"	002156","2023-10-19","CN","右侧","85.0","19.68","22.23","0.1296","是"
"	002156","2023-12-18","CN","左侧","70.0","22.47","23.5","0.0458","否"
"	002156","2024-01-19","CN","右侧","85.0","22.4","23.04","0.0286","否"
"	002156","2024-05-15","CN","右侧","85.0","21.15","24.83","0.174","是"
"	002156","2024-09-25","CN","右侧","85.0","19.02","27.1","0.4248","是"
"	002156","2024-11-28","CN","左侧","70.0","29.27","32.7","0.1172","是"
"	002156","2025-03-03","CN","左侧","70.0","28.02","29.55","0.0546","否"
"	002156","2025-06-23","CN","右侧","85.0","24.42","26.66","0.0917","是"
"	002156","2026-02-13","CN","左侧","70.0","49.0","52.98","0.0812","是"
