"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标","入场日期","止损阈值","手续费bps","滑点bps","ATR周期","初始止损ATR倍数","移动止损模式","跟踪ATR倍数","回撤止损比例","保本触发R","锁盈触发R","锁盈保留R","分批止盈触发R","分批止盈比例","time_stop_bars","出场价格","出场日期","出场原因","持有K线数","入场成交价","出场成交价","单笔收益率","是否触发分批止盈","R倍数","初始风险比例","初始止损价","最大有利波动","最大不利波动"
"	000301","2023-06-15","CN","右侧","75.0","11.78","12.19","0.0348","否","2023-06-16","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","11.191","2023-06-26","止损","5","11.7894","11.182","-0.051519","False","-1.0","0.05","11.191","0.014431","-0.056027"
"	000301","2023-08-16","CN","左侧","70.0","11.72","11.95","0.0196","否","2023-08-17","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","11.51","2023-08-30","时间止损","10","11.7294","11.5008","-0.019488","False","-0.358362","0.05","11.134","0.019625","-0.046928"
"	000301","2024-01-03","CN","左侧","90.0","9.59","10.11","0.0542","否","2024-01-04","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","9.58","2024-01-17","时间止损","10","9.5977","9.5723","-0.00264","False","-0.020855","0.05","9.1105","0.028154","-0.04171"
"	000301","2024-04-29","CN","右侧","75.0","10.24","10.29","0.0049","否","2024-04-30","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","9.728","2024-05-15","止损","9","10.2482","9.7202","-0.051519","False","-1.0","0.05","9.728","0.004883","-0.057617"
"	000301","2024-07-17","CN","右侧","90.0","8.03","8.28","0.0311","否","2024-07-18","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","7.93","2024-07-31","时间止损","10","8.0364","7.9237","-0.014032","False","-0.249066","0.05","7.6285","0.031133","-0.042341"
"	000301","2024-08-30","CN","右侧","90.0","7.76","10.21","0.3157","是","2024-09-02","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","7.372","2024-09-10","止损","7","7.7662","7.3661","-0.051519","False","-1.0","0.05","7.372","0.027062","-0.05799"
"	000301","2025-01-17","CN","右侧","75.0","8.68","9.27","0.068","否","2025-01-20","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","8.246","2025-01-22","止损","3","8.6869","8.2394","-0.051519","False","-1.0","0.05","8.246","0.012673","-0.058756"
"	000301","2025-07-01","CN","右侧","85.0","8.51","9.37","0.1011","是","2025-07-02","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","8.55","2025-07-15","时间止损","10","8.5168","8.5432","0.003094","False","0.094007","0.05","8.0845","0.028202","-0.023502"
"	000301","2025-08-20","CN","右侧","85.0","9.3","10.68","0.1484","是","2025-08-21","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","9.8256","2025-09-16","止损","14","9.3074","9.8177","0.054827","False","1.130323","0.05","8.835","0.148387","-0.002151"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"	000338","2023-05-05","CN","右侧","85.0","12.78","13.05","0.0211","否","2023-05-08","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","12.141","2023-05-19","止损","10","12.7902","12.1313","-0.051519","False","-1.0","0.05","12.141","0.021127","-0.054773"
"	000338","2023-07-27","CN","左侧","70.0","12.49","13.24","0.06","否","2023-07-28","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","12.49","2023-08-11","止损","11","12.5","12.48","-0.001599","False","0.0","0.05","11.8655","0.060048","-0.018415"
"	000338","2023-09-07","CN","左侧","75.0","12.22","12.85","0.0516","否","2023-09-08","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","12.08","2023-09-21","时间止损","10","12.2298","12.0703","-0.013037","False","-0.229133","0.05","11.609","0.012275","-0.016367"
"	000338","2024-08-20","CN","左侧","75.0","12.87","13.46","0.0458","否","2024-08-21","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","12.65","2024-09-03","时间止损","10","12.8803","12.6399","-0.018665","False","-0.34188","0.05","12.2265","0.045843","-0.034965"
"	000338","2024-09-25","CN","右侧","90.0","13.1","17.44","0.3313","是","2024-09-26","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","16.0448","2024-10-08","止损","4","13.1105","16.032","0.222836","False","4.495878","0.05","12.445","0.331298","-0.001527"
"	000338","2024-11-27","CN","左侧","70.0","13.3","14.1","0.0602","否","2024-11-28","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","13.66","2024-12-11","时间止损","10","13.3106","13.6491","0.025426","False","0.541353","0.05","12.635","0.048872","-0.011278"
"	000338","2025-03-27","CN","左侧","70.0","15.96","16.59","0.0395","否","2025-03-28","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","15.2628","2025-04-07","止损","6","15.9728","15.2506","-0.045213","False","-0.873684","0.05","15.162","0.039474","-0.117794"
"	000338","2025-10-29","CN","左侧","70.0","14.19","18.9","0.3319","是","2025-10-30","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","17.388","2025-11-14","止损","12","14.2014","17.3741","0.223411","False","4.5074","0.05","13.4805","0.331924","-0.002819"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"	000400","2023-05-24","CN","左侧","70.0","22.59","23.59","0.0443","否","2023-05-25","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","22.03","2023-06-07","时间止损","10","22.6081","22.0124","-0.026349","False","-0.495795","0.05","21.4605","0.044267","-0.037185"
"	000400","2023-06-27","CN","右侧","75.0","22.3","24.11","0.0812","否","2023-06-28","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","23.15","2023-07-11","时间止损","10","22.3178","23.1315","0.036457","False","0.762332","0.05","21.185","0.044843","-0.011659"
"	000400","2023-08-03","CN","左侧","75.0","22.39","22.65","0.0116","否","2023-08-04","0.05","3.0","5.0","14","2.6","percent","3.4","0.08","1.1","2.2","0.6","20.0","0.0","10","21.2705","2023-08-11","止损","6","22.4079","21.2535","-0.051519","False","-1.0","0.05","21.2705","0.011612","-0.051809"
