"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	002557","2021-04-02","CN","右侧","75.0","50.18","55.88","0.1136","是"
"	300223","2021-04-02","CN","右侧","100.0","67.0","73.79","0.1013","是"
"	000001","2021-04-09","CN","左侧","70.0","19.49","22.28","0.1432","是"
"	601669","2021-04-09","CN","左侧","90.0","3.98","4.03","0.0126","否"
"	002940","2021-04-14","CN","左侧","70.0","36.21","36.99","0.0215","否"
"	600900","2021-04-16","CN","左侧","70.0","20.41","20.65","0.0118","否"
"	002728","2021-04-16","CN","右侧","90.0","11.2","16.2","0.4464","是"
"	600838","2021-04-16","CN","右侧","75.0","6.6","6.85","0.0379","否"
"	601138","2021-04-23","CN","左侧","70.0","14.21","14.81","0.0422","否"
"	002294","2021-05-18","CN","右侧","75.0","36.25","36.79","0.0149","否"
"	601669","2021-05-25","CN","右侧","75.0","3.94","3.96","0.0051","否"
"	603759","2021-05-27","CN","右侧","75.0","25.31","28.98","0.145","是"
"	600838","2021-06-03","CN","右侧","85.0","6.72","6.74","0.003","否"
"	000001","2021-06-03","CN","左侧","75.0","22.15","23.22","0.0483","否"
"	600900","2021-06-09","CN","右侧","90.0","20.33","21.45","0.0551","否"
"	002728","2021-06-11","CN","左侧","70.0","14.04","15.39","0.0962","否"
"	603667","2021-06-15","CN","右侧","100.0","9.41","12.08","0.2837","是"
"	002271","2021-06-21","CN","左侧","75.0","57.32","57.99","0.0117","否"
"	003007","2021-06-25","CN","左侧","70.0","20.8","21.3","0.024","否"
"	601669","2021-07-01","CN","右侧","90.0","3.9","4.86","0.2462","是"
"	601138","2021-08-11","CN","右侧","90.0","11.76","12.36","0.051","否"
"	003007","2021-08-11","CN","左侧","70.0","18.39","19.42","0.056","否"
"	002271","2021-08-13","CN","左侧","75.0","52.9","57.2","0.0813","否"
"	600838","2021-08-30","CN","右侧","100.0","5.83","6.31","0.0823","否"
"	603759","2021-08-30","CN","左侧","90.0","17.3","19.9","0.1503","是"
"	002940","2021-09-02","CN","左侧","70.0","31.38","32.67","0.0411","否"
"	002557","2021-09-14","CN","左侧","75.0","41.35","49.45","0.1959","是"
"	600176","2021-09-28","CN","左侧","70.0","18.01","19.49","0.0822","否"
"	000001","2021-09-30","CN","左侧","70.0","16.33","18.75","0.1482","是"
"	603667","2021-10-13","CN","左侧","75.0","16.36","19.16","0.1711","是"
"	002271","2021-10-21","CN","左侧","90.0","46.1","49.8","0.0803","否"
"	300223","2021-10-22","CN","右侧","85.0","132.01","157.57","0.1936","是"
"	002294","2021-10-22","CN","左侧","75.0","26.68","30.63","0.1481","是"
"	002940","2021-10-25","CN","右侧","85.0","31.15","35.13","0.1278","是"
"	600900","2021-10-26","CN","左侧","70.0","21.14","21.43","0.0137","否"
"	002364","2021-11-04","CN","右侧","75.0","9.18","10.2","0.1111","是"
"	603759","2021-11-08","CN","右侧","85.0","17.73","18.49","0.0429","否"
"	600176","2021-11-11","CN","左侧","70.0","17.44","18.27","0.0476","否"
"	601669","2021-11-11","CN","左侧","70.0","6.85","7.95","0.1606","是"
"	600838","2021-11-12","CN","左侧","75.0","5.85","6.12","0.0462","否"
"	601138","2021-11-15","CN","右侧","90.0","11.87","12.05","0.0152","否"
"	002557","2021-11-24","CN","左侧","90.0","54.43","61.7","0.1336","是"
"	601868","2021-11-29","CN","右侧","85.0","2.5","3.04","0.216","是"
"	000001","2021-12-09","CN","右侧","90.0","16.67","17.04","0.0222","否"
"	600838","2021-12-13","CN","右侧","85.0","6.0","6.78","0.13","是"
"	600900","2021-12-14","CN","右侧","85.0","21.53","23.03","0.0697","否"
"	002728","2021-12-16","CN","左侧","70.0","14.19","19.58","0.3798","是"
"	002294","2021-12-21","CN","左侧","75.0","28.25","28.58","0.0117","否"
"	603759","2021-12-21","CN","左侧","70.0","17.4","18.48","0.0621","否"
"	003007","2021-12-23","CN","右侧","90.0","17.93","19.89","0.1093","是"
"	002364","2021-12-29","CN","左侧","90.0","9.62","9.67","0.0052","否"
"	002557","2022-01-11","CN","左侧","75.0","56.74","60.58","0.0677","否"
"	600176","2022-01-11","CN","右侧","70.0","18.02","18.1","0.0044","否"
"	601868","2022-01-14","CN","左侧","70.0","2.67","3.01","0.1273","是"
"	002728","2022-01-21","CN","左侧","70.0","16.15","16.15","0.0","否"
"	000001","2022-01-24","CN","左侧","75.0","15.24","15.5","0.0171","否"
"	003007","2022-02-10","CN","右侧","85.0","18.77","37.43","0.9941","是"
"	601138","2022-02-17","CN","左侧","90.0","11.24","11.41","0.0151","否"
"	600900","2022-02-21","CN","左侧","70.0","22.95","24.15","0.0523","否"
"	002271","2022-02-21","CN","左侧","70.0","50.12","50.38","0.0052","否"
"	600838","2022-02-23","CN","右侧","90.0","6.63","7.25","0.0935","否"
"	300223","2022-02-23","CN","右侧","85.0","111.8","114.58","0.0249","否"
"	002557","2022-02-24","CN","右侧","85.0","59.09","60.44","0.0228","否"
"	000001","2022-03-03","CN","左侧","70.0","13.78","13.79","0.0007","否"
"	603759","2022-03-07","CN","左侧","70.0","16.3","16.48","0.011","否"
"	002940","2022-03-10","CN","左侧","70.0","35.31","47.0","0.3311","是"
"	002294","2022-04-06","CN","右侧","75.0","23.1","24.08","0.0424","否"
"	600176","2022-04-08","CN","右侧","85.0","16.1","16.4","0.0186","否"
"	601138","2022-04-15","CN","左侧","70.0","10.0","10.04","0.004","否"
"	002940","2022-05-18","CN","左侧","70.0","40.2","42.25","0.051","否"
"	601669","2022-05-19","CN","右侧","75.0","7.6","8.45","0.1118","是"
"	002557","2022-05-30","CN","左侧","75.0","53.13","59.79","0.1254","是"
"	600176","2022-06-07","CN","右侧","90.0","16.35","17.78","0.0875","否"
"	601868","2022-06-08","CN","右侧","75.0","2.36","2.52","0.0678","否"
"	601138","2022-06-10","CN","右侧","85.0","9.55","9.98","0.045","否"
"	603759","2022-06-17","CN","左侧","90.0","10.42","10.95","0.0509","否"
"	002271","2022-06-20","CN","右侧","85.0","47.97","52.46","0.0936","否"
"	003007","2022-06-27","CN","右侧","85.0","20.16","20.19","0.0015","否"
"	600900","2022-07-01","CN","右侧","85.0","24.35","25.27","0.0378","否"
"	000001","2022-07-07","CN","左侧","70.0","12.66","12.89","0.0182","否"
"	300223","2022-07-12","CN","左侧","90.0","88.43","103.5","0.1704","是"
"	601138","2022-07-12","CN","左侧","70.0","9.64","10.17","0.055","否"
"	601868","2022-07-13","CN","右侧","75.0","2.41","2.42","0.0041","否"
"	603667","2022-07-20","CN","右侧","75.0","17.32","21.87","0.2627","是"
"	603759","2022-07-21","CN","右侧","100.0","10.31","11.07","0.0737","否"
"	002557","2022-08-04","CN","右侧","75.0","52.49","54.14","0.0314","否"
"	002364","2022-08-15","CN","左侧","70.0","8.23","10.46","0.271","是"
"	002294","2022-08-19","CN","左侧","75.0","25.05","26.27","0.0487","否"
"	603759","2022-08-24","CN","右侧","90.0","10.79","11.15","0.0334","否"
"	600900","2022-08-30","CN","左侧","75.0","23.33","24.17","0.036","否"
"	002940","2022-09-01","CN","右侧","75.0","38.79","38.9","0.0028","否"
"	600838","2022-09-09","CN","右侧","100.0","6.76","7.4","0.0947","否"
"	000001","2022-09-19","CN","左侧","70.0","11.0","11.02","0.0018","否"
"	002557","2022-09-21","CN","左侧","70.0","46.0","49.29","0.0715","否"
"	601868","2022-09-29","CN","左侧","70.0","2.2","2.45","0.1136","是"
"	002940","2022-10-12","CN","右侧","100.0","37.45","48.8","0.3031","是"
"	002728","2022-10-14","CN","右侧","75.0","12.33","21.07","0.7088","是"
"	600838","2022-11-04","CN","右侧","100.0","6.13","7.17","0.1697","是"
"	600176","2022-11-07","CN","右侧","75.0","13.12","15.17","0.1562","是"
"	300223","2022-11-11","CN","右侧","75.0","71.88","81.97","0.1404","是"
"	601868","2022-11-17","CN","左侧","70.0","2.36","2.55","0.0805","否"
"	603759","2022-11-18","CN","左侧","70.0","9.26","10.18","0.0994","否"
"	003007","2022-11-23","CN","左侧","70.0","24.61","29.99","0.2186","是"
"	002557","2022-12-01","CN","右侧","85.0","49.34","54.0","0.0944","否"
"	002294","2022-12-07","CN","左侧","70.0","32.8","34.61","0.0552","否"
"	601138","2022-12-26","CN","左侧","70.0","9.22","9.74","0.0564","否"
"	688114","2022-12-30","CN","左侧","75.0","111.11","124.0","0.116","是"
"	002364","2023-01-09","CN","右侧","90.0","7.25","8.94","0.2331","是"
"	603667","2023-01-09","CN","右侧","90.0","14.36","15.8","0.1003","是"
"	603759","2023-01-09","CN","右侧","85.0","9.81","9.83","0.002","否"
"	600900","2023-01-11","CN","右侧","75.0","20.85","21.49","0.0307","否"
"	300223","2023-01-16","CN","右侧","85.0","75.05","86.68","0.155","是"
"	601868","2023-01-18","CN","左侧","70.0","2.31","2.42","0.0476","否"
"	600838","2023-01-20","CN","左侧","70.0","6.86","7.04","0.0262","否"
"	002310","2023-02-06","CN","右侧","75.0","2.13","2.21","0.0376","否"
"	002969","2023-02-06","CN","右侧","75.0","4.32","4.72","0.0926","否"
"	603103","2023-02-06","CN","右侧","75.0","14.79","15.0","0.0142","否"
"	002603","2023-02-07","CN","左侧","75.0","29.1","33.46","0.1498","是"
"	600988","2023-02-07","CN","左侧","75.0","19.45","19.56","0.0057","否"
"	002078","2023-02-08","CN","右侧","85.0","11.71","13.02","0.1119","是"
"	601615","2023-02-08","CN","左侧","70.0","26.58","27.55","0.0365","否"
"	600000","2023-02-09","CN","左侧","70.0","7.25","7.46","0.029","否"
"	601138","2023-02-10","CN","右侧","85.0","9.72","11.85","0.2191","是"
"	002271","2023-02-13","CN","右侧","75.0","36.95","37.77","0.0222","否"
"	603707","2023-02-14","CN","左侧","70.0","19.54","19.72","0.0092","否"
"	002557","2023-02-15","CN","左侧","70.0","47.12","48.45","0.0282","否"
"	300699","2023-02-15","CN","左侧","70.0","67.06","68.54","0.0221","否"
"	601669","2023-02-15","CN","左侧","70.0","6.98","7.93","0.1361","是"
"	603933","2023-02-15","CN","左侧","70.0","12.75","12.76","0.0008","否"
"	000670","2023-02-16","CN","左侧","70.0","8.48","9.7","0.1439","是"
"	600998","2023-02-16","CN","右侧","85.0","13.76","15.44","0.1221","是"
"	000983","2023-02-17","CN","右侧","85.0","12.18","14.18","0.1642","是"
"	603297","2023-02-20","CN","左侧","90.0","95.5","100.87","0.0562","否"
"	002135","2023-02-20","CN","右侧","85.0","6.88","7.14","0.0378","否"
"	002371","2023-02-21","CN","左侧","70.0","236.96","282.9","0.1939","是"
"	601975","2023-02-21","CN","左侧","70.0","4.42","4.62","0.0452","否"
"	000089","2023-02-22","CN","左侧","90.0","7.44","7.65","0.0282","否"
"	603527","2023-02-22","CN","左侧","70.0","15.28","15.41","0.0085","否"
"	002202","2023-02-23","CN","左侧","70.0","11.54","11.85","0.0269","否"
"	603005","2023-02-23","CN","左侧","70.0","20.86","26.55","0.2728","是"
"	603520","2023-02-24","CN","右侧","90.0","22.99","23.13","0.0061","否"
"	603667","2023-02-24","CN","左侧","70.0","14.77","15.02","0.0169","否"
"	002431","2023-02-24","CN","左侧","70.0","3.0","3.09","0.03","否"
"	003007","2023-02-24","CN","左侧","70.0","29.1","32.67","0.1227","是"
"	601609","2023-02-24","CN","左侧","70.0","7.09","7.14","0.0071","否"
"	603759","2023-02-24","CN","左侧","70.0","9.52","10.12","0.063","否"
"	688777","2023-02-24","CN","右侧","85.0","95.1","106.82","0.1232","是"
"	002171","2023-02-27","CN","左侧","70.0","8.13","8.44","0.0381","否"
"	600900","2023-02-27","CN","左侧","75.0","21.0","21.5","0.0238","否"
"	002549","2023-02-27","CN","左侧","90.0","15.39","15.65","0.0169","否"
"	600528","2023-02-27","CN","右侧","90.0","8.38","10.87","0.2971","是"
"	603256","2023-02-27","CN","右侧","90.0","7.35","8.91","0.2122","是"
"	002241","2023-02-27","CN","左侧","70.0","20.66","22.86","0.1065","是"
"	002294","2023-02-27","CN","左侧","70.0","35.62","37.29","0.0469","否"
"	601868","2023-02-27","CN","左侧","70.0","2.36","2.76","0.1695","是"
"	601869","2023-02-27","CN","左侧","70.0","36.0","43.23","0.2008","是"
"	603067","2023-02-27","CN","左侧","70.0","15.12","15.3","0.0119","否"
"	603519","2023-02-28","CN","左侧","70.0","12.46","12.76","0.0241","否"
"	688291","2023-02-28","CN","左侧","70.0","30.07","31.95","0.0625","否"
"	000767","2023-03-01","CN","左侧","70.0","3.37","3.44","0.0208","否"
"	002155","2023-03-02","CN","左侧","70.0","17.01","17.9","0.0523","否"
"	603068","2023-03-02","CN","左侧","70.0","33.6","35.2","0.0476","否"
"	603486","2023-03-03","CN","左侧","90.0","89.75","90.42","0.0075","否"
"	600838","2023-03-03","CN","右侧","75.0","6.87","7.04","0.0247","否"
"	603380","2023-03-03","CN","左侧","75.0","29.59","30.0","0.0139","否"
"	605006","2023-03-03","CN","左侧","70.0","9.14","9.17","0.0033","否"
