"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000035","2025-05-12","CN","右侧","90.0","4.59","4.61","0.0044","否"
"	000035","2025-07-10","CN","右侧","90.0","4.4","4.5","0.0227","否"
"	000035","2025-08-21","CN","右侧","75.0","4.48","5.21","0.1629","是"
"	000035","2025-11-06","CN","左侧","70.0","5.97","6.23","0.0436","否"
"	000035","2025-12-15","CN","右侧","90.0","5.96","5.99","0.005","否"
"	000035","2026-02-11","CN","左侧","70.0","5.85","8.6","0.4701","是"
"","","","","","","","",""
"	000533","2025-10-16","CN","右侧","90.0","7.4","10.54","0.4243","是"
"	000533","2025-12-15","CN","右侧","85.0","8.86","9.77","0.1027","是"
"","","","","","","","",""
"	000558","2025-05-23","CN","左侧","70.0","3.88","4.99","0.2861","是"
"	000558","2025-07-14","CN","左侧","70.0","4.67","7.91","0.6938","是"
"	000558","2025-09-26","CN","左侧","70.0","5.64","5.9","0.0461","否"
"	000558","2025-11-06","CN","右侧","90.0","5.32","6.18","0.1617","是"
"	000558","2025-12-10","CN","左侧","70.0","5.38","5.46","0.0149","否"
"	000558","2026-01-14","CN","右侧","85.0","5.37","5.61","0.0447","否"
"","","","","","","","",""
"	000572","2025-06-26","CN","右侧","100.0","4.23","4.95","0.1702","是"
"","","","","","","","",""
"	000651","2025-04-21","CN","左侧","70.0","45.17","47.31","0.0474","否"
"	000651","2025-08-22","CN","右侧","85.0","47.25","48.35","0.0233","否"
"	000651","2025-11-19","CN","左侧","70.0","40.18","41.2","0.0254","否"
"	000651","2026-01-20","CN","右侧","85.0","41.3","41.34","0.001","否"
"	000651","2026-03-16","CN","左侧","70.0","38.94","39.05","0.0028","否"
"","","","","","","","",""
"	000709","2025-04-02","CN","左侧","70.0","2.23","2.27","0.0179","否"
"	000709","2025-09-25","CN","左侧","75.0","2.39","2.7","0.1297","是"
"	000709","2025-12-19","CN","右侧","75.0","2.34","2.46","0.0513","否"
"","","","","","","","",""
"	000721","2025-04-29","CN","左侧","70.0","8.85","9.3","0.0508","否"
"	000721","2025-06-11","CN","右侧","90.0","9.06","9.11","0.0055","否"
"	000721","2025-07-24","CN","右侧","90.0","8.74","10.8","0.2357","是"
"	000721","2025-12-25","CN","左侧","70.0","9.12","10.25","0.1239","是"
"	000721","2026-02-09","CN","左侧","70.0","9.07","9.18","0.0121","否"
"","","","","","","","",""
"	000905","2025-04-18","CN","左侧","75.0","7.77","9.59","0.2342","是"
"	000905","2025-06-12","CN","左侧","90.0","8.29","8.57","0.0338","否"
"	000905","2025-08-21","CN","右侧","85.0","8.63","9.17","0.0626","否"
"	000905","2026-01-15","CN","左侧","70.0","12.99","13.88","0.0685","否"
"	000905","2026-03-10","CN","左侧","70.0","12.38","12.38","0.0","否"
"","","","","","","","",""
"	000983","2025-07-16","CN","左侧","75.0","6.41","8.16","0.273","是"
"	000983","2025-09-16","CN","右侧","75.0","7.19","7.66","0.0654","否"
"	000983","2025-10-28","CN","左侧","75.0","7.43","7.6","0.0229","否"
"	000983","2026-02-04","CN","右侧","85.0","7.09","7.7","0.086","否"
"	000983","2026-03-18","CN","左侧","70.0","7.0","7.59","0.0843","否"
"","","","","","","","",""
"	002050","2025-05-28","CN","左侧","70.0","25.65","27.25","0.0624","否"
"	002050","2025-07-01","CN","左侧","70.0","26.03","28.3","0.0872","否"
"	002050","2025-08-15","CN","右侧","85.0","28.77","35.75","0.2426","是"
"	002050","2025-11-12","CN","左侧","75.0","43.3","47.0","0.0855","否"
"","","","","","","","",""
"	002100","2025-04-17","CN","左侧","70.0","6.37","6.58","0.033","否"
"	002100","2025-05-28","CN","左侧","70.0","6.29","6.56","0.0429","否"
"	002100","2025-10-23","CN","左侧","90.0","7.51","7.98","0.0626","否"
"	002100","2026-02-09","CN","左侧","70.0","7.12","8.0","0.1236","是"
"	002100","2026-03-26","CN","左侧","70.0","7.03","7.79","0.1081","是"
"","","","","","","","",""
"	002155","2025-04-29","CN","左侧","90.0","22.2","24.2","0.0901","否"
"	002155","2025-08-01","CN","左侧","70.0","18.03","21.52","0.1936","是"
"	002155","2025-11-18","CN","左侧","70.0","21.93","22.96","0.047","否"
"	002155","2026-01-05","CN","右侧","75.0","21.91","39.5","0.8028","是"
"	002155","2026-03-10","CN","左侧","90.0","36.8","37.06","0.0071","否"
"","","","","","","","",""
"	002171","2025-05-12","CN","右侧","85.0","9.07","9.32","0.0276","否"
"","","","","","","","",""
