code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
601628,2023-04-17,CN,右侧,75.0,35.2,43.0,0.2216,True
601628,2023-04-18,CN,右侧,45.0,37.0,43.0,0.1622,True
601628,2023-04-27,CN,右侧,60.0,38.47,43.0,0.1178,True
601628,2023-04-28,CN,右侧,50.0,39.0,43.0,0.1026,True
601628,2023-05-04,CN,右侧,50.0,40.16,43.0,0.0707,False
601628,2023-05-15,CN,右侧,50.0,42.75,42.19,-0.0131,False
603979,2023-06-12,CN,左侧,55.0,31.18,32.92,0.0558,False
603979,2023-06-14,CN,右侧,75.0,31.84,33.1,0.0396,False
603979,2023-06-19,CN,右侧,50.0,31.08,33.1,0.065,False
603979,2023-07-04,CN,左侧,75.0,30.95,34.5,0.1147,True
603979,2023-07-13,CN,右侧,85.0,32.18,34.61,0.0755,False
603979,2023-07-25,CN,右侧,50.0,33.6,35.0,0.0417,False
601628,2023-07-28,CN,右侧,85.0,36.45,39.28,0.0776,False
601628,2023-07-31,CN,右侧,100.0,36.67,39.28,0.0712,False
603979,2023-08-01,CN,右侧,50.0,32.99,38.5,0.167,True
601628,2023-08-04,CN,右侧,50.0,37.98,38.38,0.0105,False
002028,2023-08-11,CN,左侧,55.0,51.17,52.3,0.0221,False
002028,2023-08-24,CN,左侧,75.0,49.2,52.3,0.063,False
002028,2023-08-25,CN,左侧,75.0,48.8,52.3,0.0717,False
603979,2023-08-28,CN,右侧,50.0,35.78,39.9,0.1151,True
002028,2023-08-29,CN,右侧,45.0,50.75,52.3,0.0305,False
601628,2023-09-01,CN,右侧,75.0,37.33,38.61,0.0343,False
603979,2023-09-01,CN,右侧,50.0,37.38,39.9,0.0674,False
603979,2023-09-04,CN,右侧,60.0,38.31,39.25,0.0245,False
002028,2023-09-05,CN,左侧,35.0,50.94,51.85,0.0179,False
601628,2023-09-06,CN,左侧,70.0,37.15,37.88,0.0197,False
601628,2023-09-12,CN,左侧,75.0,36.07,38.34,0.0629,False
601628,2023-09-14,CN,左侧,70.0,35.98,38.34,0.0656,False
601628,2023-10-12,CN,右侧,35.0,37.86,38.34,0.0127,False
002028,2023-11-16,CN,左侧,70.0,48.01,50.8,0.0581,False
002028,2023-11-20,CN,右侧,75.0,49.5,50.8,0.0263,False
603979,2023-11-20,CN,左侧,70.0,35.35,36.5,0.0325,False
002028,2023-11-22,CN,左侧,55.0,48.3,50.8,0.0518,False
002028,2023-11-23,CN,左侧,35.0,48.32,50.8,0.0513,False
002028,2023-11-27,CN,右侧,85.0,49.81,50.8,0.0199,False
002028,2023-11-28,CN,右侧,85.0,49.24,51.01,0.0359,False
603979,2023-11-29,CN,左侧,55.0,35.39,38.15,0.078,False
603979,2023-11-30,CN,左侧,70.0,35.09,38.6,0.1,True
002028,2023-12-07,CN,左侧,75.0,48.31,54.0,0.1178,True
002028,2023-12-11,CN,右侧,35.0,49.85,54.0,0.0832,False
002028,2023-12-13,CN,右侧,50.0,50.19,54.0,0.0759,False
603979,2023-12-15,CN,右侧,85.0,36.12,39.2,0.0853,False
603979,2023-12-20,CN,右侧,60.0,36.89,39.58,0.0729,False
603979,2023-12-21,CN,右侧,50.0,37.2,39.58,0.064,False
603979,2023-12-22,CN,右侧,50.0,37.86,39.58,0.0454,False
603979,2023-12-25,CN,右侧,50.0,37.22,39.58,0.0634,False
603979,2023-12-26,CN,右侧,50.0,36.9,39.58,0.0726,False
002028,2023-12-29,CN,右侧,50.0,52.04,56.78,0.0911,False
603979,2024-01-02,CN,右侧,50.0,38.75,39.88,0.0292,False
002028,2024-01-12,CN,右侧,50.0,53.9,61.38,0.1388,True
002028,2024-01-15,CN,右侧,50.0,54.5,61.38,0.1262,True
002028,2024-01-17,CN,右侧,50.0,55.27,61.38,0.1105,True
002028,2024-01-18,CN,右侧,60.0,53.18,61.38,0.1542,True
601628,2024-01-25,CN,右侧,85.0,28.69,31.94,0.1133,True
603979,2024-01-25,CN,右侧,75.0,38.78,45.29,0.1679,True
603979,2024-02-01,CN,左侧,75.0,37.95,48.46,0.2769,True
603979,2024-02-02,CN,左侧,75.0,37.82,49.1,0.2983,True
603979,2024-02-05,CN,右侧,75.0,39.2,49.1,0.2526,True
002028,2024-02-06,CN,右侧,35.0,56.61,62.18,0.0984,False
603979,2024-02-06,CN,右侧,35.0,40.4,49.1,0.2153,True
002028,2024-02-07,CN,右侧,50.0,57.99,62.18,0.0723,False
603979,2024-02-07,CN,右侧,50.0,42.59,52.0,0.2209,True
002028,2024-02-08,CN,右侧,50.0,57.32,62.18,0.0848,False
603979,2024-02-08,CN,右侧,50.0,40.67,53.0,0.3032,True
603979,2024-03-14,CN,右侧,50.0,50.62,56.46,0.1154,True
603979,2024-03-15,CN,右侧,50.0,52.39,56.98,0.0876,False
603979,2024-03-20,CN,右侧,50.0,49.97,58.95,0.1797,True
601628,2024-04-03,CN,左侧,75.0,28.89,32.31,0.1184,True
002028,2024-04-08,CN,右侧,85.0,62.03,71.64,0.1549,True
603979,2024-04-08,CN,右侧,50.0,53.0,58.95,0.1123,True
002028,2024-04-11,CN,右侧,60.0,64.19,75.55,0.177,True
601628,2024-04-29,CN,右侧,60.0,30.81,33.79,0.0967,False
601628,2024-05-06,CN,右侧,50.0,31.66,33.79,0.0673,False
002028,2024-05-13,CN,右侧,50.0,73.37,76.24,0.0391,False
002028,2024-05-20,CN,右侧,50.0,70.1,76.24,0.0876,False
002028,2024-05-27,CN,右侧,50.0,72.15,76.24,0.0567,False
601628,2024-05-31,CN,左侧,55.0,31.35,32.01,0.0211,False
603979,2024-05-31,CN,右侧,50.0,56.87,55.97,-0.0158,False
