"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000506","2026-04-09","CN","右侧","75.0","19.0","19.17","0.0089","否"
"","","","","","","","",""
"	000601","2026-04-07","CN","左侧","70.0","6.55","6.66","0.0168","否"
"","","","","","","","",""
"	000651","2026-04-03","CN","左侧","70.0","37.48","37.86","0.0101","否"
"","","","","","","","",""
"	000652","2026-04-07","CN","右侧","85.0","4.2","4.28","0.019","否"
"","","","","","","","",""
"	000727","2026-04-08","CN","右侧","75.0","2.84","2.88","0.0141","否"
"","","","","","","","",""
"	000800","2026-04-10","CN","右侧","90.0","6.91","7.19","0.0405","否"
"","","","","","","","",""
"	000977","2026-04-08","CN","右侧","75.0","61.5","70.19","0.1413","是"
"","","","","","","","",""
"	002051","2026-04-01","CN","右侧","85.0","9.0","12.68","0.4089","是"
"","","","","","","","",""
"	002068","2026-04-02","CN","左侧","90.0","8.69","8.7","0.0012","否"
"","","","","","","","",""
"	002135","2026-04-07","CN","左侧","70.0","6.84","7.83","0.1447","是"
"","","","","","","","",""
"	002150","2026-04-08","CN","左侧","70.0","29.5","34.88","0.1824","是"
"","","","","","","","",""
"	002290","2026-04-03","CN","左侧","75.0","61.61","73.99","0.2009","是"
"","","","","","","","",""
"	002350","2026-04-02","CN","左侧","70.0","13.68","15.06","0.1009","是"
"","","","","","","","",""
"	002371","2026-04-08","CN","右侧","85.0","461.0","484.41","0.0508","否"
"","","","","","","","",""
"	002384","2026-04-07","CN","左侧","70.0","119.91","149.68","0.2483","是"
"","","","","","","","",""
"	002461","2026-04-07","CN","右侧","75.0","9.71","10.19","0.0494","否"
"","","","","","","","",""
"	002463","2026-04-07","CN","左侧","70.0","79.3","90.62","0.1427","是"
"","","","","","","","",""
"	002611","2026-04-09","CN","左侧","75.0","17.31","17.65","0.0196","否"
"","","","","","","","",""
"	002648","2026-04-02","CN","左侧","70.0","27.18","30.36","0.117","是"
"","","","","","","","",""
"	002828","2026-04-07","CN","右侧","90.0","12.51","12.99","0.0384","否"
"","","","","","","","",""
"	002837","2026-04-10","CN","右侧","75.0","99.06","103.3","0.0428","否"
"","","","","","","","",""
"	002859","2026-04-08","CN","左侧","70.0","41.9","44.22","0.0554","否"
"","","","","","","","",""
"	002884","2026-04-03","CN","左侧","75.0","17.89","19.09","0.0671","否"
