"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000301","2025-07-01","CN","右侧","85.0","8.51","9.37","0.1011","是"
"	000301","2025-08-20","CN","右侧","85.0","9.3","10.68","0.1484","是"
"","","","","","","","",""
"	000338","2025-10-29","CN","左侧","70.0","14.19","18.9","0.3319","是"
"","","","","","","","",""
"	000400","2025-04-08","CN","右侧","75.0","24.7","25.18","0.0194","否"
"	000400","2025-05-28","CN","左侧","70.0","21.29","22.0","0.0333","否"
"	000400","2025-06-27","CN","右侧","85.0","21.66","25.56","0.1801","是"
"	000400","2025-08-21","CN","右侧","85.0","23.39","24.98","0.068","否"
"	000400","2025-11-04","CN","右侧","90.0","26.2","30.53","0.1653","是"
"	000400","2026-03-02","CN","右侧","90.0","32.3","34.65","0.0728","否"
"","","","","","","","",""
"	000401","2025-07-02","CN","右侧","75.0","4.49","5.69","0.2673","是"
"	000401","2025-09-10","CN","左侧","70.0","4.94","5.13","0.0385","否"
"	000401","2026-01-12","CN","右侧","90.0","4.57","5.38","0.1772","是"
"","","","","","","","",""
"	000407","2025-06-13","CN","右侧","100.0","3.43","3.76","0.0962","否"
"	000407","2025-12-26","CN","右侧","90.0","5.21","5.66","0.0864","否"
"	000407","2026-02-05","CN","左侧","70.0","4.99","6.19","0.2405","是"
"","","","","","","","",""
"	000417","2025-04-02","CN","左侧","90.0","5.49","6.83","0.2441","是"
"	000417","2025-07-31","CN","右侧","85.0","5.68","6.95","0.2236","是"
"	000417","2025-09-15","CN","左侧","70.0","6.33","8.0","0.2638","是"
"	000417","2026-01-08","CN","左侧","75.0","7.85","9.49","0.2089","是"
"	000417","2026-02-06","CN","左侧","75.0","8.4","8.49","0.0107","否"
"","","","","","","","",""
"	000420","2025-06-11","CN","左侧","70.0","4.08","4.1","0.0049","否"
"	000420","2025-08-04","CN","左侧","70.0","4.02","4.75","0.1816","是"
"	000420","2025-09-10","CN","左侧","90.0","4.22","4.84","0.1469","是"
"	000420","2025-11-05","CN","右侧","85.0","4.29","4.36","0.0163","否"
"	000420","2026-02-05","CN","左侧","70.0","4.57","5.3","0.1597","是"
"","","","","","","","",""
"	000425","2025-07-02","CN","右侧","75.0","8.1","9.6","0.1852","是"
"	000425","2025-08-15","CN","左侧","70.0","8.77","10.58","0.2064","是"
"	000425","2026-01-13","CN","右侧","90.0","11.4","12.15","0.0658","否"
"","","","","","","","",""
"	000426","2026-02-11","CN","左侧","70.0","50.22","60.47","0.2041","是"
"","","","","","","","",""
"	000506","2025-04-07","CN","左侧","70.0","5.14","7.3","0.4202","是"
"	000506","2025-09-08","CN","右侧","85.0","10.73","15.08","0.4054","是"
"	000506","2025-11-24","CN","左侧","90.0","11.72","14.44","0.2321","是"
"","","","","","","","",""
"	000528","2025-05-26","CN","左侧","90.0","9.92","10.1","0.0181","否"
"	000528","2025-07-08","CN","右侧","100.0","9.99","13.02","0.3033","是"
"	000528","2025-09-19","CN","右侧","75.0","11.4","12.12","0.0632","否"
"	000528","2025-11-12","CN","左侧","70.0","11.65","12.97","0.1133","是"
"","","","","","","","",""
"	000530","2025-10-15","CN","左侧","70.0","6.38","7.7","0.2069","是"
"	000530","2025-12-02","CN","右侧","85.0","7.7","8.3","0.0779","否"
"","","","","","","","",""
"	000533","2025-10-10","CN","右侧","85.0","6.93","9.6","0.3853","是"
"","","","","","","","",""
"	000534","2025-06-26","CN","右侧","85.0","14.28","15.39","0.0777","否"
"	000534","2025-07-29","CN","左侧","75.0","14.56","18.24","0.2527","是"
"	000534","2025-09-09","CN","左侧","70.0","16.13","16.74","0.0378","否"
"	000534","2025-10-17","CN","左侧","75.0","15.81","23.72","0.5003","是"
"	000534","2026-03-31","CN","左侧","75.0","36.42","45.68","0.2543","是"
"","","","","","","","",""
"	000536","2025-05-06","CN","右侧","75.0","4.7","4.9","0.0426","否"
"	000536","2025-07-03","CN","右侧","90.0","4.46","4.56","0.0224","否"
"	000536","2025-08-01","CN","右侧","75.0","4.44","6.36","0.4324","是"
"	000536","2025-09-12","CN","左侧","70.0","5.07","5.3","0.0454","否"
"	000536","2025-10-29","CN","右侧","90.0","4.91","6.09","0.2403","是"
"	000536","2026-01-21","CN","左侧","70.0","4.94","5.04","0.0202","否"
"	000536","2026-03-05","CN","右侧","75.0","4.69","5.16","0.1002","是"
"","","","","","","","",""
"	000545","2025-06-25","CN","左侧","75.0","2.51","3.3","0.3147","是"
"	000545","2025-08-08","CN","左侧","70.0","2.78","3.57","0.2842","是"
"	000545","2026-01-07","CN","右侧","85.0","3.09","3.26","0.055","否"
"","","","","","","","",""
"	000547","2025-06-06","CN","左侧","75.0","7.45","8.48","0.1383","是"
"	000547","2025-07-18","CN","左侧","70.0","7.93","9.63","0.2144","是"
"	000547","2025-10-24","CN","右侧","100.0","8.0","13.78","0.7225","是"
"","","","","","","","",""
"	000559","2025-05-07","CN","右侧","90.0","7.25","10.11","0.3945","是"
"	000559","2025-08-18","CN","右侧","75.0","7.99","11.52","0.4418","是"
