"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	002309","2023-03-27","CN","右侧","85.0","5.28","5.48","0.0379","False"
"	002309","2023-06-16","CN","右侧","90.0","4.09","4.11","0.0049","False"
"	002309","2023-07-19","CN","右侧","85.0","4.08","4.48","0.098","False"
"	002309","2023-07-21","CN","右侧","90.0","3.98","4.61","0.1583","True"
"	002309","2023-08-08","CN","左侧","70.0","3.94","4.83","0.2259","True"
"	002309","2023-08-31","CN","左侧","70.0","4.0","4.13","0.0325","False"
"	002309","2023-09-05","CN","左侧","70.0","4.01","4.1","0.0224","False"
"	002309","2023-11-08","CN","左侧","75.0","3.51","3.51","0.0","False"
"	002309","2023-11-10","CN","左侧","90.0","3.42","3.45","0.0088","False"
"	002309","2023-11-20","CN","左侧","75.0","3.37","3.42","0.0148","False"
"	002309","2024-05-15","CN","右侧","90.0","1.96","2.03","0.0357","False"
"	002309","2024-07-09","CN","右侧","75.0","1.62","1.74","0.0741","False"
"	002309","2025-03-04","CN","右侧","90.0","2.4","2.77","0.1542","True"
"	002309","2025-03-10","CN","左侧","70.0","2.38","2.77","0.1639","True"
"	002309","2025-08-13","CN","右侧","85.0","3.39","3.41","0.0059","False"
"	002309","2025-10-27","CN","右侧","90.0","3.08","4.34","0.4091","True"
"	002309","2026-01-06","CN","左侧","70.0","3.37","3.39","0.0059","False"
