"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	002625","2023-04-03","CN","右侧","75.0","17.08","17.95","0.0509","False"
"	002625","2023-04-14","CN","左侧","75.0","16.61","17.95","0.0807","False"
"	002625","2023-04-19","CN","右侧","85.0","17.45","17.95","0.0287","False"
"	002625","2023-05-18","CN","左侧","90.0","16.27","16.42","0.0092","False"
"	002625","2023-05-26","CN","左侧","90.0","16.03","16.18","0.0094","False"
"	002625","2023-08-29","CN","右侧","75.0","15.03","15.3","0.018","False"
"	002625","2023-09-06","CN","右侧","90.0","14.93","15.3","0.0248","False"
"	002625","2023-09-14","CN","左侧","75.0","14.64","14.89","0.0171","False"
"	002625","2023-09-21","CN","左侧","100.0","14.24","14.56","0.0225","False"
"	002625","2023-09-22","CN","左侧","75.0","14.4","14.56","0.0111","False"
"	002625","2023-10-10","CN","左侧","70.0","14.38","14.53","0.0104","False"
"	002625","2023-12-11","CN","右侧","85.0","14.82","15.02","0.0135","False"
"	002625","2023-12-22","CN","右侧","75.0","14.31","15.0","0.0482","False"
"	002625","2024-02-20","CN","右侧","90.0","13.82","16.24","0.1751","True"
"	002625","2024-05-15","CN","左侧","70.0","18.81","19.26","0.0239","False"
"	002625","2024-05-27","CN","左侧","75.0","18.56","18.82","0.014","False"
"	002625","2024-08-09","CN","左侧","70.0","16.86","17.68","0.0486","False"
"	002625","2024-11-28","CN","左侧","70.0","39.4","45.88","0.1645","True"
"	002625","2024-12-18","CN","左侧","70.0","40.3","49.28","0.2228","True"
"	002625","2025-05-21","CN","左侧","70.0","41.47","45.66","0.101","True"
"	002625","2025-07-07","CN","左侧","70.0","39.28","42.24","0.0754","False"
"	002625","2025-10-21","CN","左侧","70.0","46.78","48.25","0.0314","False"
"	002625","2026-01-13","CN","右侧","90.0","54.2","54.74","0.01","False"
"	002625","2026-01-14","CN","右侧","90.0","52.56","52.99","0.0082","False"
