code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
000651,2023-04-06,CN,左侧,75.0,36.75,42.62,0.1597,True
000547,2023-04-06,CN,左侧,75.0,11.74,11.81,0.006,False
000547,2023-04-07,CN,左侧,75.0,11.64,11.76,0.0103,False
002050,2023-04-13,CN,左侧,90.0,23.8,26.18,0.1,False
601669,2023-04-13,CN,右侧,85.0,7.78,7.99,0.027,False
601669,2023-04-14,CN,右侧,75.0,7.8,7.99,0.0244,False
601669,2023-04-17,CN,右侧,90.0,7.84,7.99,0.0191,False
601628,2023-04-17,CN,右侧,75.0,35.2,43.0,0.2216,True
000905,2023-04-18,CN,右侧,85.0,7.75,8.22,0.0606,False
600525,2023-04-18,CN,右侧,85.0,5.57,6.11,0.0969,False
601231,2023-04-20,CN,右侧,75.0,18.3,18.32,0.0011,False
688114,2023-04-20,CN,左侧,90.0,90.0,90.34,0.0038,False
000905,2023-04-21,CN,右侧,100.0,7.59,8.17,0.0764,False
300750,2023-04-21,CN,右侧,75.0,404.99,406.0,0.0025,False
000566,2023-04-25,CN,左侧,90.0,4.73,5.59,0.1818,True
920263,2023-04-27,CN,右侧,85.0,4.93,5.53,0.1217,True
000735,2023-04-27,CN,左侧,90.0,7.35,7.52,0.0231,False
920263,2023-05-05,CN,右侧,85.0,4.97,5.53,0.1127,True
000566,2023-05-05,CN,左侧,90.0,5.1,5.59,0.0961,False
000566,2023-05-15,CN,右侧,100.0,5.32,5.57,0.047,False
000566,2023-05-16,CN,右侧,90.0,5.34,5.57,0.0431,False
300233,2023-05-22,CN,左侧,75.0,20.19,20.79,0.0297,False
688114,2023-05-25,CN,右侧,75.0,78.7,94.2,0.197,True
688498,2023-05-25,CN,右侧,75.0,250.01,339.6,0.3583,True
603583,2023-05-29,CN,右侧,85.0,20.21,21.47,0.0623,False
603583,2023-05-30,CN,右侧,85.0,19.5,21.7,0.1128,True
601231,2023-05-31,CN,右侧,90.0,14.06,15.22,0.0825,False
000566,2023-05-31,CN,左侧,75.0,5.25,5.41,0.0305,False
000566,2023-06-07,CN,左侧,90.0,5.08,5.19,0.0217,False
000905,2023-06-08,CN,右侧,75.0,7.75,8.06,0.04,False
000333,2023-06-08,CN,右侧,75.0,56.89,60.52,0.0638,False
600570,2023-06-13,CN,右侧,75.0,42.64,51.08,0.1979,True
600570,2023-06-14,CN,右侧,75.0,43.9,51.08,0.1636,True
300750,2023-06-15,CN,右侧,85.0,230.88,235.0,0.0178,False
000547,2023-06-16,CN,右侧,75.0,9.83,10.09,0.0264,False
002171,2023-06-19,CN,右侧,85.0,7.24,7.77,0.0732,False
603260,2023-06-19,CN,右侧,90.0,72.18,74.5,0.0321,False
603260,2023-06-20,CN,右侧,90.0,73.4,74.5,0.015,False
000547,2023-06-28,CN,右侧,75.0,9.93,10.09,0.0161,False
003007,2023-07-03,CN,右侧,75.0,26.69,27.76,0.0401,False
300223,2023-07-04,CN,右侧,75.0,91.4,100.88,0.1037,True
601868,2023-07-04,CN,左侧,75.0,2.36,2.48,0.0508,False
002709,2023-07-05,CN,左侧,90.0,41.52,42.31,0.019,False
002759,2023-07-06,CN,左侧,75.0,13.8,13.9,0.0072,False
002759,2023-07-07,CN,左侧,75.0,13.62,14.7,0.0793,False
920263,2023-07-10,CN,左侧,90.0,4.77,4.8,0.0063,False
601868,2023-07-11,CN,左侧,75.0,2.37,2.48,0.0464,False
300223,2023-07-12,CN,右侧,85.0,94.6,100.88,0.0664,False
601868,2023-07-13,CN,左侧,90.0,2.37,2.48,0.0464,False
601669,2023-07-13,CN,右侧,85.0,5.78,6.08,0.0519,False
601868,2023-07-17,CN,左侧,90.0,2.36,2.48,0.0508,False
300233,2023-07-17,CN,右侧,85.0,20.01,21.6,0.0795,False
002100,2023-07-18,CN,右侧,75.0,8.34,8.43,0.0108,False
002171,2023-07-18,CN,右侧,100.0,7.4,7.64,0.0324,False
601868,2023-07-18,CN,左侧,75.0,2.35,2.48,0.0553,False
920263,2023-07-18,CN,左侧,100.0,4.74,4.82,0.0169,False
300223,2023-07-19,CN,左侧,75.0,92.29,94.49,0.0238,False
601669,2023-07-19,CN,左侧,90.0,5.73,6.08,0.0611,False
601669,2023-07-20,CN,左侧,75.0,5.68,6.08,0.0704,False
601669,2023-07-21,CN,左侧,75.0,5.67,6.08,0.0723,False
300699,2023-07-24,CN,左侧,90.0,29.01,30.68,0.0576,False
920263,2023-07-24,CN,左侧,80.0,4.67,4.82,0.0321,False
601868,2023-07-25,CN,右侧,75.0,2.38,2.48,0.042,False
920263,2023-07-25,CN,左侧,90.0,4.72,4.82,0.0212,False
601669,2023-07-25,CN,右侧,75.0,5.77,6.08,0.0537,False
