"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	000035","2000-06-05","CN","右侧","90.0","34.16","35.0","0.0246","False"
"	000035","2000-08-02","CN","右侧","85.0","31.15","32.0","0.0273","False"
"	000035","2000-08-18","CN","左侧","75.0","29.74","29.88","0.0047","False"
"	000035","2000-08-22","CN","左侧","90.0","29.31","29.5","0.0065","False"
"	000035","2000-08-24","CN","左侧","75.0","28.7","29.5","0.0279","False"
"	000035","2000-08-25","CN","左侧","90.0","28.91","29.5","0.0204","False"
"	000035","2000-10-20","CN","右侧","85.0","25.88","28.28","0.0927","False"
"	000035","2000-12-20","CN","右侧","100.0","27.59","27.8","0.0076","False"
"	000035","2000-12-21","CN","右侧","90.0","27.0","27.7","0.0259","False"
"	000035","2001-03-07","CN","左侧","90.0","20.5","23.16","0.1298","True"
"	000035","2001-05-25","CN","右侧","90.0","25.95","34.42","0.3264","True"
"	000035","2001-08-30","CN","左侧","90.0","28.46","29.8","0.0471","False"
"	000035","2001-11-23","CN","右侧","100.0","21.59","22.5","0.0421","False"
"	000035","2002-04-11","CN","右侧","85.0","16.09","18.88","0.1734","True"
"	000035","2002-06-25","CN","右侧","100.0","16.45","17.9","0.0881","False"
"	000035","2002-08-22","CN","右侧","85.0","17.33","19.01","0.0969","False"
"	000035","2002-08-23","CN","右侧","75.0","17.17","19.01","0.1072","True"
"	000035","2002-08-26","CN","右侧","90.0","17.28","19.01","0.1001","True"
"	000035","2002-11-05","CN","右侧","75.0","15.59","15.66","0.0045","False"
"	000035","2003-03-03","CN","右侧","85.0","14.87","15.3","0.0289","False"
"	000035","2003-03-12","CN","右侧","85.0","14.74","15.3","0.038","False"
"	000035","2003-03-13","CN","右侧","85.0","14.7","15.3","0.0408","False"
"	000035","2003-03-18","CN","右侧","90.0","14.74","15.3","0.038","False"
"	000035","2003-03-26","CN","左侧","75.0","14.16","15.72","0.1102","True"
"	000035","2003-03-27","CN","左侧","90.0","14.54","15.72","0.0812","False"
"	000035","2003-04-01","CN","左侧","75.0","14.6","15.72","0.0767","False"
"	000035","2003-04-14","CN","右侧","85.0","14.83","15.72","0.06","False"
"	000035","2003-04-16","CN","右侧","100.0","14.77","15.72","0.0643","False"
"	000035","2003-04-17","CN","右侧","90.0","15.01","15.72","0.0473","False"
"	000035","2003-06-06","CN","左侧","90.0","12.79","12.96","0.0133","False"
"	000035","2003-08-18","CN","右侧","85.0","11.39","12.1","0.0623","False"
"	000035","2004-01-13","CN","右侧","90.0","9.0","11.52","0.28","True"
"	000035","2004-03-26","CN","右侧","100.0","10.62","12.85","0.21","True"
"	000035","2004-03-29","CN","右侧","100.0","10.69","12.85","0.2021","True"
"	000035","2005-11-29","CN","右侧","90.0","2.18","2.14","-0.0183","False"
"	000035","2005-12-28","CN","右侧","85.0","2.13","2.48","0.1643","True"
"	000035","2006-04-14","CN","右侧","75.0","1.92","1.96","0.0208","False"
"	000035","2006-05-23","CN","右侧","90.0","1.93","2.61","0.3523","True"
"	000035","2008-11-20","CN","右侧","90.0","2.69","3.47","0.29","True"
"	000035","2010-12-22","CN","右侧","100.0","6.77","7.82","0.1551","True"
"	000035","2010-12-30","CN","右侧","75.0","6.68","7.86","0.1766","True"
"	000035","2010-12-31","CN","右侧","85.0","6.68","7.86","0.1766","True"
"	000035","2011-03-10","CN","右侧","75.0","8.17","10.64","0.3023","True"
"	000035","2011-06-30","CN","右侧","100.0","9.69","10.6","0.0939","False"
"	000035","2011-07-11","CN","右侧","90.0","9.8","10.38","0.0592","False"
"	000035","2011-07-27","CN","右侧","75.0","9.82","10.74","0.0937","False"
"	000035","2011-08-05","CN","右侧","85.0","9.89","11.76","0.1891","True"
"	000035","2011-08-09","CN","右侧","90.0","9.93","11.76","0.1843","True"
"	000035","2011-08-11","CN","右侧","90.0","10.0","11.76","0.176","True"
"	000035","2014-06-24","CN","右侧","85.0","10.6","11.86","0.1189","True"
"	000035","2014-06-25","CN","右侧","100.0","10.81","11.86","0.0971","False"
"	000035","2014-06-27","CN","右侧","90.0","10.65","11.86","0.1136","True"
"	000035","2014-08-13","CN","右侧","90.0","11.35","12.91","0.1374","True"
"	000035","2014-11-25","CN","右侧","90.0","13.82","13.96","0.0101","False"
"	000035","2017-02-20","CN","右侧","90.0","7.26","7.8","0.0744","False"
"	000035","2017-03-27","CN","右侧","100.0","7.87","8.4","0.0673","False"
"	000035","2019-04-22","CN","右侧","85.0","5.46","5.6","0.0256","False"
"	000035","2020-02-14","CN","右侧","90.0","5.86","5.91","0.0085","False"
"	000035","2020-11-23","CN","右侧","90.0","4.62","4.8","0.039","False"
"	000035","2021-02-08","CN","右侧","85.0","4.0","4.84","0.21","True"
"	000035","2021-02-09","CN","右侧","75.0","4.08","4.84","0.1863","True"
"	000035","2021-02-18","CN","右侧","90.0","4.12","4.84","0.1748","True"
"	000035","2021-02-22","CN","右侧","90.0","4.19","5.04","0.2029","True"
"	000035","2021-05-11","CN","右侧","100.0","4.61","5.19","0.1258","True"
"	000035","2021-07-06","CN","左侧","90.0","4.54","4.62","0.0176","False"
"	000035","2021-07-08","CN","左侧","90.0","4.48","4.62","0.0312","False"
"	000035","2021-08-17","CN","右侧","100.0","4.54","5.04","0.1101","True"
"	000035","2021-08-18","CN","右侧","100.0","4.48","5.04","0.125","True"
"	000035","2021-12-14","CN","右侧","85.0","5.89","6.1","0.0357","False"
"	000035","2022-02-21","CN","右侧","90.0","5.95","6.05","0.0168","False"
"	000035","2022-12-06","CN","右侧","75.0","5.4","6.13","0.1352","True"
"	000035","2022-12-22","CN","左侧","90.0","5.13","5.46","0.0643","False"
"	000035","2022-12-28","CN","左侧","90.0","5.13","5.99","0.1676","True"
"	000035","2024-05-30","CN","左侧","75.0","4.64","5.54","0.194","True"
"	000035","2024-05-31","CN","右侧","85.0","4.93","5.54","0.1237","True"
"	000035","2024-09-20","CN","左侧","75.0","4.1","5.55","0.3537","True"
"	000035","2024-09-23","CN","左侧","90.0","4.09","5.55","0.357","True"
"	000035","2024-09-24","CN","右侧","75.0","4.26","5.55","0.3028","True"
"	000035","2024-10-11","CN","右侧","90.0","4.46","5.69","0.2758","True"
"	000035","2025-02-07","CN","右侧","85.0","4.62","4.89","0.0584","False"
"	000035","2025-02-10","CN","右侧","90.0","4.58","4.89","0.0677","False"
"	000035","2025-02-18","CN","右侧","85.0","4.6","4.99","0.0848","False"
"	000035","2025-02-19","CN","右侧","75.0","4.68","4.99","0.0662","False"
"	000035","2025-02-21","CN","右侧","90.0","4.75","5.08","0.0695","False"
"	000035","2025-02-24","CN","右侧","90.0","4.77","5.08","0.065","False"
"	000035","2025-05-12","CN","右侧","90.0","4.54","4.61","0.0154","False"
"	000035","2025-05-15","CN","左侧","90.0","4.42","4.51","0.0204","False"
"	000035","2025-07-10","CN","右侧","90.0","4.39","4.5","0.0251","False"
"	000035","2025-08-21","CN","右侧","75.0","4.49","5.21","0.1604","True"
"	000035","2025-08-22","CN","右侧","90.0","4.45","5.21","0.1708","True"
"	000035","2025-08-26","CN","右侧","90.0","4.49","5.21","0.1604","True"
"	000035","2025-08-27","CN","右侧","90.0","4.38","5.21","0.1895","True"
"	000035","2025-11-20","CN","右侧","90.0","5.95","6.4","0.0756","False"
"	000035","2025-12-15","CN","右侧","90.0","5.97","5.99","0.0034","False"
"	000035","2025-12-18","CN","左侧","75.0","5.67","6.2","0.0935","False"
"	000035","2025-12-19","CN","左侧","75.0","5.68","6.23","0.0968","False"
"	000035","2025-12-24","CN","左侧","90.0","5.58","6.44","0.1541","True"
"	000035","2025-12-25","CN","左侧","90.0","5.59","6.44","0.1521","True"
"	000035","2025-12-29","CN","左侧","90.0","5.6","6.44","0.15","True"
"	000035","2025-12-31","CN","左侧","90.0","5.52","6.44","0.1667","True"
"	000035","2026-02-26","CN","右侧","90.0","6.37","8.6","0.3501","True"
