"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	002709","2023-07-05","CN","左侧","90.0","41.52","42.31","0.019","False"
"	002709","2023-07-07","CN","左侧","70.0","40.34","42.31","0.0488","False"
"	002709","2023-10-30","CN","右侧","75.0","28.3","28.98","0.024","False"
"	002709","2023-11-02","CN","左侧","75.0","26.91","28.98","0.0769","False"
"	002709","2024-09-11","CN","右侧","85.0","14.89","20.37","0.368","True"
"	002709","2024-09-12","CN","右侧","85.0","14.33","20.37","0.4215","True"
"	002709","2024-09-24","CN","右侧","85.0","14.24","20.37","0.4305","True"
"	002709","2024-12-09","CN","左侧","70.0","22.76","23.69","0.0409","False"
"	002709","2024-12-11","CN","左侧","90.0","22.15","22.51","0.0163","False"
"	002709","2025-03-20","CN","左侧","70.0","19.69","19.77","0.0041","False"
"	002709","2025-12-04","CN","左侧","70.0","39.25","48.88","0.2454","True"
"	002709","2025-12-08","CN","左侧","70.0","39.8","49.15","0.2349","True"
"	002709","2026-01-22","CN","左侧","70.0","43.59","44.97","0.0317","False"
