"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	000035","2010-12-22","CN","右侧","100.0","6.77","7.82","0.1551","True"
"	000035","2010-12-31","CN","右侧","85.0","6.68","7.86","0.1766","True"
"	000035","2011-06-30","CN","右侧","100.0","9.69","10.6","0.0939","False"
"	000035","2011-07-11","CN","右侧","90.0","9.8","10.38","0.0592","False"
"	000035","2011-08-05","CN","右侧","85.0","9.89","11.76","0.1891","True"
"	000035","2011-08-09","CN","右侧","90.0","9.93","11.76","0.1843","True"
"	000035","2011-08-11","CN","右侧","90.0","10.0","11.76","0.176","True"
"	000035","2014-06-24","CN","右侧","85.0","10.6","11.86","0.1189","True"
"	000035","2014-06-25","CN","右侧","100.0","10.81","11.86","0.0971","False"
"	000035","2014-06-27","CN","右侧","90.0","10.65","11.86","0.1136","True"
"	000035","2014-08-13","CN","右侧","90.0","11.35","12.91","0.1374","True"
"	000035","2014-11-25","CN","右侧","90.0","13.82","13.96","0.0101","False"
"	000035","2017-02-20","CN","右侧","90.0","7.26","7.8","0.0744","False"
"	000035","2017-03-27","CN","右侧","100.0","7.87","8.4","0.0673","False"
"	000035","2019-04-22","CN","右侧","85.0","5.46","5.6","0.0256","False"
"	000035","2020-02-14","CN","右侧","90.0","5.86","5.91","0.0085","False"
"	000035","2020-11-23","CN","右侧","90.0","4.62","4.8","0.039","False"
"	000035","2021-02-08","CN","右侧","85.0","4.0","4.84","0.21","True"
"	000035","2021-02-18","CN","右侧","90.0","4.12","4.84","0.1748","True"
"	000035","2021-02-22","CN","右侧","90.0","4.19","5.04","0.2029","True"
"	000035","2021-05-11","CN","右侧","100.0","4.61","5.19","0.1258","True"
"	000035","2021-07-06","CN","左侧","90.0","4.54","4.62","0.0176","False"
"	000035","2021-07-08","CN","左侧","90.0","4.48","4.62","0.0312","False"
"	000035","2021-08-17","CN","右侧","100.0","4.54","5.04","0.1101","True"
"	000035","2021-08-18","CN","右侧","100.0","4.48","5.04","0.125","True"
"	000035","2021-12-14","CN","右侧","85.0","5.89","6.1","0.0357","False"
"	000035","2022-02-21","CN","右侧","90.0","5.95","6.05","0.0168","False"
"	000035","2022-12-22","CN","左侧","90.0","5.13","5.46","0.0643","False"
"	000035","2022-12-28","CN","左侧","90.0","5.13","5.99","0.1676","True"
"	000035","2024-05-31","CN","右侧","85.0","4.93","5.54","0.1237","True"
"	000035","2024-09-23","CN","左侧","90.0","4.09","5.55","0.357","True"
"	000035","2024-10-11","CN","右侧","90.0","4.46","5.69","0.2758","True"
"	000035","2025-02-07","CN","右侧","85.0","4.62","4.89","0.0584","False"
"	000035","2025-02-10","CN","右侧","90.0","4.58","4.89","0.0677","False"
"	000035","2025-02-18","CN","右侧","85.0","4.6","4.99","0.0848","False"
"	000035","2025-02-21","CN","右侧","90.0","4.75","5.08","0.0695","False"
"	000035","2025-02-24","CN","右侧","90.0","4.77","5.08","0.065","False"
"	000035","2025-05-12","CN","右侧","90.0","4.54","4.61","0.0154","False"
"	000035","2025-05-15","CN","左侧","90.0","4.42","4.51","0.0204","False"
"	000035","2025-07-10","CN","右侧","90.0","4.39","4.5","0.0251","False"
"	000035","2025-08-22","CN","右侧","90.0","4.45","5.21","0.1708","True"
"	000035","2025-08-26","CN","右侧","90.0","4.49","5.21","0.1604","True"
"	000035","2025-08-27","CN","右侧","90.0","4.38","5.21","0.1895","True"
"	000035","2025-11-20","CN","右侧","90.0","5.95","6.4","0.0756","False"
"	000035","2025-12-15","CN","右侧","90.0","5.97","5.99","0.0034","False"
"	000035","2025-12-24","CN","左侧","90.0","5.58","6.44","0.1541","True"
"	000035","2025-12-25","CN","左侧","90.0","5.59","6.44","0.1521","True"
"	000035","2025-12-29","CN","左侧","90.0","5.6","6.44","0.15","True"
"	000035","2025-12-31","CN","左侧","90.0","5.52","6.44","0.1667","True"
"	000035","2026-02-26","CN","右侧","90.0","6.37","8.6","0.3501","True"
