"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	600660","2023-05-12","CN","左侧","70.0","33.86","34.86","0.0295","False"
"	600660","2023-08-28","CN","右侧","90.0","37.63","38.9","0.0337","False"
"	600660","2023-09-21","CN","左侧","75.0","38.0","39.85","0.0487","False"
"	600660","2023-10-13","CN","右侧","75.0","38.83","39.85","0.0263","False"
"	600660","2023-11-02","CN","左侧","70.0","37.09","37.9","0.0218","False"
"	600660","2023-12-22","CN","左侧","75.0","37.5","39.68","0.0581","False"
"	600660","2024-01-10","CN","右侧","90.0","38.88","41.54","0.0684","False"
"	600660","2024-04-10","CN","左侧","70.0","44.38","52.18","0.1758","True"
"	600660","2024-05-24","CN","左侧","90.0","45.74","48.64","0.0634","False"
"	600660","2024-12-17","CN","右侧","90.0","58.8","63.19","0.0747","False"
"	600660","2025-03-19","CN","右侧","100.0","57.51","59.49","0.0344","False"
"	600660","2025-05-30","CN","左侧","75.0","57.97","59.16","0.0205","False"
"	600660","2025-06-17","CN","左侧","75.0","57.2","59.0","0.0315","False"
"	600660","2025-06-18","CN","左侧","90.0","57.47","59.0","0.0266","False"
"	600660","2025-07-04","CN","右侧","75.0","58.13","59.0","0.015","False"
"	600660","2025-11-10","CN","左侧","70.0","67.2","67.36","0.0024","False"
"	600660","2025-11-11","CN","左侧","70.0","67.08","67.2","0.0018","False"
"	600660","2025-11-18","CN","左侧","70.0","65.14","66.11","0.0149","False"
"	600660","2026-01-08","CN","右侧","90.0","63.15","63.99","0.0133","False"
"	600660","2026-02-26","CN","左侧","70.0","61.53","61.45","-0.0013","False"
"	600660","2026-04-03","CN","左侧","70.0","58.09","58.09","0.0","False"
