"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"	002155","2023-10-09","CN","左侧","75.0","12.1","12.58","0.0397","False"
"	002155","2023-10-11","CN","左侧","75.0","11.92","12.58","0.0554","False"
"	002155","2023-10-16","CN","右侧","75.0","12.48","12.3","-0.0144","False"
"	002155","2024-11-21","CN","右侧","75.0","16.73","22.26","0.3305","True"
"	002155","2024-12-03","CN","右侧","90.0","18.28","19.38","0.0602","False"
"	002155","2025-04-29","CN","左侧","90.0","22.35","24.2","0.0828","False"
"	002155","2025-05-27","CN","左侧","75.0","22.99","24.59","0.0696","False"
"	002155","2025-05-29","CN","左侧","75.0","22.52","24.59","0.0919","False"
"	002155","2025-05-30","CN","左侧","90.0","22.43","24.59","0.0963","False"
"	002155","2026-01-05","CN","右侧","75.0","21.71","39.5","0.8194","True"
"	002155","2026-03-10","CN","左侧","90.0","36.49","37.06","0.0156","False"
