code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
002171,2023-03-09,CN,左侧,70.0,8.06,8.05,-0.0012,False
002171,2023-06-19,CN,右侧,85.0,7.24,7.77,0.0732,True
002171,2023-07-18,CN,右侧,100.0,7.4,7.64,0.0324,False
002171,2023-08-09,CN,左侧,70.0,7.25,7.29,0.0055,False
002171,2023-08-10,CN,左侧,70.0,7.27,7.29,0.0028,False
002171,2023-10-26,CN,右侧,85.0,7.11,7.72,0.0858,True
002171,2023-10-27,CN,右侧,90.0,7.21,7.72,0.0707,True
002171,2024-02-23,CN,左侧,70.0,6.67,8.51,0.2759,True
002171,2024-12-25,CN,左侧,70.0,8.75,9.22,0.0537,True
002171,2025-01-16,CN,左侧,75.0,8.74,8.95,0.024,False
002171,2025-05-12,CN,右侧,85.0,8.99,9.32,0.0367,False
002171,2025-06-09,CN,右侧,90.0,9.18,9.99,0.0882,True
