code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
002171,2021-07-20,CN,左侧,75.0,9.08,10.74,0.1828,True
002171,2021-12-23,CN,右侧,85.0,12.44,13.49,0.0844,False
002171,2021-12-27,CN,右侧,90.0,12.59,13.49,0.0715,False
002171,2023-06-19,CN,右侧,85.0,7.24,7.77,0.0732,False
002171,2023-07-18,CN,右侧,100.0,7.4,7.64,0.0324,False
002171,2023-10-26,CN,右侧,85.0,7.11,7.72,0.0858,False
002171,2023-10-27,CN,右侧,90.0,7.21,7.72,0.0707,False
002171,2025-01-16,CN,左侧,75.0,8.74,8.95,0.024,False
002171,2025-05-12,CN,右侧,85.0,8.99,9.32,0.0367,False
002171,2025-06-09,CN,右侧,90.0,9.18,9.99,0.0882,False
