"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	605006","2023-03-03","CN","左侧","70.0","9.14","9.17","0.0033","否"
"	605006","2023-04-03","CN","右侧","85.0","9.06","9.12","0.0066","否"
"	605006","2023-07-17","CN","右侧","90.0","7.63","7.94","0.0406","否"
"	605006","2023-09-14","CN","左侧","70.0","7.49","7.53","0.0053","否"
"	605006","2023-12-06","CN","右侧","75.0","7.15","7.7","0.0769","否"
"	605006","2024-01-05","CN","左侧","70.0","6.92","6.98","0.0087","否"
"	605006","2024-05-15","CN","左侧","70.0","5.6","6.0","0.0714","否"
"	605006","2024-08-06","CN","左侧","70.0","4.26","4.29","0.007","否"
"	605006","2024-09-05","CN","左侧","70.0","4.21","5.43","0.2898","是"
"	605006","2025-03-11","CN","左侧","70.0","6.54","6.77","0.0352","否"
"	605006","2025-06-30","CN","左侧","70.0","6.69","9.55","0.4275","是"
"	605006","2025-07-29","CN","左侧","70.0","7.59","9.0","0.1858","是"
"	605006","2025-09-17","CN","左侧","70.0","8.12","8.5","0.0468","否"
"	605006","2025-10-28","CN","右侧","75.0","7.86","8.3","0.056","否"
"	605006","2025-12-23","CN","右侧","85.0","7.22","7.99","0.1066","是"
"	605006","2026-04-02","CN","右侧","85.0","9.48","9.61","0.0137","否"
