"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	600998","2023-02-16","CN","右侧","85.0","13.76","15.44","0.1221","True"
"	600998","2023-03-31","CN","左侧","70.0","14.9","17.14","0.1503","True"
"	600998","2023-05-19","CN","左侧","70.0","15.77","16.83","0.0672","False"
"	600998","2023-07-31","CN","右侧","90.0","9.88","9.97","0.0091","False"
"	600998","2024-02-05","CN","右侧","85.0","7.18","8.95","0.2465","True"
"	600998","2024-03-15","CN","左侧","75.0","8.04","8.62","0.0721","False"
"	600998","2024-05-08","CN","左侧","90.0","8.06","8.6","0.067","False"
"	600998","2024-09-04","CN","右侧","75.0","4.83","6.31","0.3064","True"
"	600998","2024-10-30","CN","左侧","70.0","5.11","6.0","0.1742","True"
"	600998","2024-11-28","CN","左侧","70.0","5.28","5.64","0.0682","False"
"	600998","2025-03-11","CN","左侧","70.0","5.05","5.21","0.0317","False"
"	600998","2025-04-29","CN","右侧","100.0","5.24","5.45","0.0401","False"
"	600998","2025-08-25","CN","右侧","90.0","5.44","5.46","0.0037","False"
"	600998","2025-10-28","CN","右侧","100.0","5.05","5.27","0.0436","False"
"	600998","2025-12-08","CN","右侧","90.0","5.14","5.48","0.0661","False"
"	600998","2026-02-03","CN","左侧","70.0","5.21","5.38","0.0326","False"
"	600998","2026-04-01","CN","右侧","90.0","5.3","5.4","0.0189","False"
