股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000533,顺钠股份,60.0%,右侧,18.84,,,,,,,,,5.43%,
⁠000558,天府文旅,30.0%,,4.78,,,,,,,,,0.42%,
⁠000651,格力电器,0.0%,,37.88,,,,,,,,,0.21%,
⁠000709,河钢股份,40.0%,,2.61,,,,,,,,,2.76%,
⁠000721,西安饮食,15.0%,,8.39,,,,,,,,,0.36%,
⁠000905,厦门港务,15.0%,,11.90,,,,,,,,,-2.22%,
⁠000983,山西焦煤,15.0%,,7.47,,,,,,,,,3.32%,
⁠002050,三花智控,15.0%,,48.78,,,,,,,,,1.18%,
⁠002155,湖南黄金,70.0%,左侧,34.58,,,,,,,,,-2.54%,
⁠002171,楚江新材,15.0%,,12.72,,,,,,,,,0.87%,
⁠002230,科大讯飞,15.0%,,52.68,,,,,,,,,-0.75%,
⁠002271,东方雨虹,20.0%,,16.64,,,,,,,,,-1.19%,
⁠002364,中恒电气,30.0%,,34.63,,,,,,,,,-4.57%,
⁠002557,洽洽食品,35.0%,,22.17,,,,,,,,,-1.86%,
⁠002709,天赐材料,60.0%,右侧,48.63,,,,,,,,,-0.33%,
⁠00700,腾讯控股,75.0%,右侧,552.00,,,,,,,,,-0.27%,
⁠00981,中芯国际,35.0%,,63.75,,,,,,,,,-0.70%,
⁠01810,小米集团－Ｗ,0.0%,,33.34,,,,,,,,,-0.83%,
⁠02269,药明生物,30.0%,,36.10,,,,,,,,,-1.42%,
⁠02565,派格生物医药－Ｂ,20.0%,,53.45,,,,,,,,,3.19%,
⁠02899,紫金矿业,90.0%,左侧,39.76,,,,,,,,,-0.45%,
⁠03690,美团－Ｗ,35.0%,,77.40,,,,,,,,,-2.15%,
⁠03750,宁德时代,45.0%,右侧,599.50,,,,,,,,,9.00%,
⁠09988,阿里巴巴－Ｗ,35.0%,,133.20,,,,,,,,,-0.22%,
⁠300058,蓝色光标,35.0%,,15.66,,,,,,,,,-3.39%,
⁠300139,晓程科技,30.0%,,68.09,,,,,,,,,-1.76%,
⁠300223,北京君正,20.0%,,119.80,,,,,,,,,-0.99%,
⁠300699,光威复材,0.0%,,41.57,,,,,,,,,7.06%,
⁠300705,九典制药,0.0%,,14.69,,,,,,,,,-1.14%,
⁠300750,宁德时代,50.0%,右侧,395.50,,,,,,,,,-0.33%,
⁠300919,中伟新材,55.0%,,53.55,,,,,,,,,-0.37%,
⁠301275,汉朔科技,30.0%,,48.06,,,,,,,,,-1.17%,
⁠600105,永鼎股份,15.0%,,27.35,,,,,,,,,-3.93%,
⁠600307,酒钢宏兴,40.0%,,2.02,,,,,,,,,6.88%,
⁠600525,ST长园,30.0%,,5.90,,,,,,,,,-1.17%,
⁠600570,恒生电子,20.0%,,27.85,,,,,,,,,0.18%,
⁠600838,上海九百,30.0%,,10.67,,,,,,,,,-0.65%,
⁠600966,博汇纸业,15.0%,,7.98,,,,,,,,,-3.74%,
⁠601138,工业富联,40.0%,,52.54,,,,,,,,,-2.50%,
⁠601231,环旭电子,15.0%,,39.10,,,,,,,,,-2.71%,
⁠601636,旗滨集团,15.0%,,6.92,,,,,,,,,-2.26%,
⁠603583,捷昌驱动,15.0%,,34.44,,,,,,,,,-1.32%,
⁠603667,五洲新春,15.0%,,76.14,,,,,,,,,1.01%,
⁠603933,睿能科技,0.0%,,21.81,,,,,,,,,-2.68%,
⁠688066,航天宏图,15.0%,,22.66,,,,,,,,,-4.67%,
⁠688114,华大智造,35.0%,,54.86,,,,,,,,,-1.31%,
⁠688256,寒武纪,30.0%,,1099.00,,,,,,,,,0.00%,
⁠688291,金橙子,40.0%,,42.48,,,,,,,,,-3.98%,
⁠688498,源杰科技,30.0%,,880.00,,,,,,,,,-2.28%,
⁠688795,摩尔线程,15.0%,,557.18,,,,,,,,,-2.79%,
⁠688981,中芯国际,0.0%,,106.01,,,,,,,,,-1.02%,
⁠920263,中航泰达,0.0%,,11.80,,,,,,,,,-1.50%,
